Sample Input,Translation,Ground Truth
The principal difference is that the impact happens faster in bonds than stocks when the Fed changes course in policy.,"Der Hauptunterschied besteht darin, dass die Auswirkungen bei Anleihen schneller als bei Aktien auftreten, wenn die Fed ihre Politik ändert.","Der Hauptunterschied ist, dass die Wirkung bei Anleihen schneller ist als bei Aktien, wenn die ihren strategischen Kurs verändern."
"For bonds, it does seem yields change direction immediately as the first hike/cut in the cycle arrives.","Für Anleihen scheint es, als ob sich die Erträge sofort Richtung ändern, wenn die erste Erhöhung/Schneidung im Zyklus kommt.","Bei Anleihen scheinen die Renditen die Richtung zu wechseln, sobald die erste Erhöhung/Senkung in dem Zyklus erfolgt."
"At the end of the hiking cycle bond yields fall immediately,"" Deutsche said.","Am Ende des Wanderzyklus fallen die Anleiheerträge sofort zurück"", sagte Deutsche.","Am Ende des Erhöhungszyklus fallen die Anleiherenditen sofort, sagte die Deutsche Bank."
"Charles Schwab strategists believe the hike in rates will cause yields between longer- and shorter-dated bonds to move closer together, flattening the curve.","Charles Schwab-Strategien sind der Ansicht, dass die Zinserhöhung dazu führen wird, dass die Renditen zwischen längeren und kürzeren Anleihen einander näher rücken und die Kurve abschwächen.","Die Strategen von Charles Schwab glauben, dass der Anstieg bei den Zinssätzen dazu führen wird, dass Renditen zwischen längeren und kürzeren Anleihen näher zusammenrücken und zu einer Abflachung der Kurve führen."
"High-yield bonds often perform better in such a climate, though ""we are still cautious about stretching for yield,"" Kathy Jones, fixed income analyst at Schwab, said in an analysis.","Hochleistungsanleihen treten in einem solchen Klima oft besser ab, obwohl ""wir noch vorsichtig sind, um die Rendite zu verlängern"", sagte Kathy Jones, Analystin für Fixed Income bei Schwab, in einer Analyse.","Hochverzinsliche Anleihen bringen oft in einem solchen Klima bessere Erträge, obwohl ""wir noch vorsichtig sind, höhere Erträge zu erwarten"", sagte Kathy Jones, Fixed-Income-Analystin bei Schwab, in einer Analyse."
"Interestingly, Jones thinks markets already have adapted to Fed policy expectations.","Interessanterweise denkt Jones, dass sich die Märkte bereits an die Erwartungen der Fed angepasst haben.","Interessant ist, meint Jones, dass die Märkte sich bereits an Fed-Strategie-Erwartungen angepasst haben."
"""In addition to the strength in the dollar and the drop in inflation expectations, there are several signs that the market has adjusted to the prospect of tighter monetary policy,"" she wrote.","""Außer der Stärke des Dollars und dem Rückgang der Inflationserwartungen gibt es mehrere Anzeichen dafür, dass sich der Markt an die Aussicht einer engeren Geldpolitik angepasst hat"", schrieb sie.","""Neben der Stärke des Dollars und dem Rückgang der Inflationserwartungen gibt es einige Anzeichen dafür, dass sich der Markt an die Aussicht auf strengere Geldpolitik angepasst hat"" schrieb sie."
"Short-term interest rates are up, the yield curve is flatter, credit spreads have widened and volatility has increased - all characteristics of the market when the Fed tightens policy.","Die kurzfristigen Zinsen sind gestiegen, die Renditekurve ist schmal, die Kreditspreads haben sich vergrößert und die Volatilität gestiegen - alle Merkmale des Marktes, wenn die Fed die Politik verschärft.","Kurzfristige Zinsen sind gestiegen, die Ertragskurve ist flacher, Kreditspannen haben sich ausgeweitet und die Volatilität ist gestiegen - alles Merkmale des Marktes, wenn die Fed ihre Strategie verschärft."
"Broadly speaking, companies that do the majority of their business in the U.S. will win as interest rates rise and local products become more attractive.","Im Großen und Ganzen werden Unternehmen, die den Großteil ihres Geschäftes in den USA machen, gewinnen, wenn die Zinssätze steigen und lokale Produkte attraktiver werden.","Im großen und ganzen werden Unternehmen, die den größeren Teil ihrer Geschäftstätigkeit in den USA abwickeln, davon profitieren, wenn Zinssätze steigen und lokale Produkte attraktiver werden."
"Multinationals with lots of debt will fare worse, as a rising dollar makes their products more expensive in the global market space and their debt more expensive the finance.","Multinationale mit viel Schulden werden sich noch verschlimmern, da ein steigender Dollar ihre Produkte im globalen Marktraum teurer macht und ihre Schulden die Finanzen teurer machen.","Multinationale Unternehmen mit hohen Schulden werden schlechter dastehen, da ein steigender Dollar ihre Produkte auf dem globalen Markt teurer macht und ebenso die Finanzierung ihrer Schulden."
"""History shows that 'quality' stocks tend to outperform during the three months following an initial rate hike,"" Goldman Sachs analysts said in a report for clients.","""Die Geschichte zeigt, dass die 'Qualität'-Aktien während der drei Monate nach einer ersten Zinserhöhung tendenziell übertreffen"", so Goldman Sachs-Analysten in einem Bericht für Kunden.","""Die Geschichte zeigt, dass ""Qualitäts-"" Aktien dazu neigen, drei Monate nach einer anfänglichen Zinserhöhung überaus positiv zu reagieren,"" sagten Goldman Sachs-Analysten in einem Bericht für die Kunden."
"Firms with strong balance sheets outpaced weak balance sheet companies following each of the 1994, 1999, and 2004 rate hikes, by an average of 5 percentage points.","Firmen mit starken Bilanzen überstiegen die schwachen Bilanzunternehmen nach jedem der Zinserhöhungen 1994, 1999 und 2004 um durchschnittlich 5 Prozentpunkte.","Firmen mit starker Bilanz haben Unternehmen mit schwacher Bilanz nach jeder der Zinserhöhungen 1994, 1999 und 2004 durchschnittlich um 5 Prozentpunkte übertroffen."
"Companies with high returns on capital as well as low volatility stocks also outperformed their lower quality counterparts, by an average of 4 (percentage points) and 3 (percentage points), respectively.",Unternehmen mit hohen Kapitalerträgen und niedrigen Volatilitätsanteilen übertrafen auch ihre niedrigeren Qualitätskontraste mit einem Durchschnitt von 4 bzw. 3 bzw. 3 Punkten.,Unternehmen mit hohen Kapital-Renditen sowie niedriger Volatilität bei ihren Aktien übertrafen auch ihre Pendants mit niedriger Qualität um durchschnittlich jeweils 4 (Prozentpunkte) und 3 (Prozentpunkte).
Debt will become a big issue.,Schulden werden zu einem großen Thema werden.,Schulden werden ein großes Problem.
"Companies with a high percentage of floating rate debt stand to lose the most, Goldman said.","Unternehmen mit einem hohen Prozentsatz an schwankenden Schulden verlieren am meisten, sagte Goldman.","Unternehmen mit einem hohen Anteil an flexiblen Zinsen werden am meisten verlieren, sagte Goldman."
"Outside pure stock plays, consumers stand to benefit as well through the rising dollar.","Außerhalb reiner Aktien spielen, profitieren die Verbraucher auch durch den steigenden Dollar.",Außerhalb der reinen Aktienspiele werden Verbraucher ebenfalls durch den steigenden Dollar profitieren.
"Savers could see gains as well through higher yields at the, though experts differ on how quickly that will take hold.","Die Savers könnten ebenfalls durch höhere Renditen zu Gewinnen kommen, obwohl Experten unterschiedlicher Meinung sind, wie schnell dies zustande kommen wird.","Sparer könnten Gewinne durch höhere Erträge sehen, auch wenn Experten unterschiedlicher Meinung sind, wie schnell das stattfinden wird."
BBC Radio 3 is a copy of Classic FM says MP Andrew Bingham,BBC Radio 3 ist eine Kopie von Classic FM sagt MP Andrew Bingham,"BBC Radio 3 ist eine Kopie des Classic FM, sagt Parlamentsmitglied Andrew Bingham"
Conservative MP Andrew Bingham criticised station for 'dumbing down',"Der konservative Abgeordnete Andrew Bingham kritisierte den Sender für seine ""Abdrücke"".","Das Konservative Mitglied des Parlaments kritisierte den Sender wegen seiner ""Verdummung"""
Argues it's becoming increasingly indistinguishable from commercial rival,Argues wird immer ununterscheidbarer als kommerzieller Rival,"Er argumentiert, dass er zunehmend von kommerziellen Rivalen nicht zu unterscheiden ist."
"Also took aim at the BBC Music Awards, saying they just rip off the Brits","Außerdem hat die BBC Music Awards angestrebt und gesagt, dass sie die Briten nur rippen.","Er zielte auch auf die BBC Music Awards und sagte, dass sie nur The Brits imitierten"
"Colleague Damien Collins MP attacked The Voice, saying that too wasn't original","Die Kollegin Damien Collins, Abgeordnete der Abgeordneten, hat die Stimme angegriffen und erklärt, dass auch das nicht original sei.","Parlaments-Kollege Damien Collins griff die Sendung The Voice an und sagte, dass dies nicht sehr originell sei."
"BBC Radio 3 is ""turning into"" Classic FM, a leading MP has claimed, piling fresh pressure on the broadcaster to prove that it does something that commercial broadcasters do not.","BBC Radio 3 dreht sich ""in"" Classic FM, hat ein führender MP behauptet, indem er Druck auf den Sender ausübt, um zu beweisen, dass es etwas tut, was kommerzielle Sender nicht tun.","BBC Radio 3 ""wandelt sich"" zu Classic FM, behauptet ein führendes Parlamentsmitglied und erhöht neuen Druck auf den Sender, zu beweisen, dass er etwas tut, was die Privatsender nicht tun."
"Conservative MP Andrew Bingham also told BBC bosses that the public service radio station appeared to be ""dumbing down"" and is becoming increasingly indistinguishable from its commercial rival.","Der konservative Abgeordnete Andrew Bingham teilte außerdem den Chefs der BBC mit, dass der öffentliche Rundfunksender scheinbar ""untergangen"" zu sein scheint und sich zunehmend von seinem kommerziellen Rivalen unterscheidet.","Der Konservative Abgeordnete Andrew Bingham sagte auch den BBC-Bossen, dass der öffentlich-rechtliche Radiosender ""verdumme"" und zunehmend nicht mehr von seinen kommerziellen Konkurrenten zu unterscheiden sei."
"""Radio 3 seems to be - I don't like to use the word ""dumbing down"" - but it seems to be turning into Classic FM,"" he said.","""Radio 3 scheint - ich mag das Wort ""dumbing down"" nicht verwenden - aber es scheint sich in Classic FM zu verwandeln"", sagte er.","""Radio 3 scheint - ich benutze das Wort ""verdummen"" nicht gern - aber es scheint sich zu Classic FM zu verwandeln"", sagte er."
"He also took aim at the BBC Music Awards, launched last December.","Er hat sich auch auf die BBC Music Awards, die im Dezember letzten Jahres gestartet wurde, bedacht.","Er zielte auch auf die BBC Music Awards, die im letzten Dezember starteten."
The BBC Music Awards which started last year seem to be the Brits by another name.,"Die BBC Music Awards, die im vergangenen Jahr begannen, scheinen die Briten mit einem anderen Namen zu sein.","Die BBC Music Awards, die im vergangenen Jahr starteten, scheinen The Brits nur unter einem anderen Namen zu sein."
"So, if you're trying to do something different - those are two examples from the top of my head where you're actually just mimicking what is already on the market,"" Mr Bingham said.","Wenn Sie also etwas anderes tun wollen - das sind zwei Beispiele von oben meines Kopfes, bei denen man eigentlich nur das nachahmt, was bereits auf dem Markt ist"", sagte Herr Bingham.","Also, wenn Sie versuchen, etwas anderes zu tun - dies sind zwei spontan genannte Beispiele, bei denen Sie eigentlich nur das imitieren, was bereits auf dem Markt ist"", sagte Mr Bingham."
"BBC director general denied the charges, arguing that BBC Radio 3 is far ahead of its commercial rival when it comes to live music and educating the public.","Der BBC-Generaldirektor lehnte die Anklage ab und argumentierte, dass BBC Radio 3 weit vor seinem kommerziellen Rivalen steht, wenn es um Live-Musik und die Erziehung der ffentlichkeit geht.","BBC-Generaldirektor wies die Vorwürfe zurück und argumentierte, dass BBC Radio 3 weit vor seinen kommerziellen Konkurrenten liege, wenn es um Live-Musik und Aufklärung der Öffentlichkeit geht."
"What I learn from Radio 3, I am not going to learn about classical music from anywhere else.","Was ich von Radio 3 erlerne, werde ich nicht von irgendwo anders über klassische Musik erlernen.","Was ich von Radio 3 lerne, das werde ich über klassische Musik nirgendwo anders lernen."
And it's commitment to live music and music making is actually second to none.,Und das Engagement für Live-Musik und Musikproduktion ist in Wirklichkeit zweifellos.,"Und es gibt ein Engagement für Live-Musik und Musizieren, das wirklich unübertroffen ist."
"""And also, Radio 3's commitment to finding new music and commissioning new works I think is also really important,"" he said.","""Außerdem ist das Engagement von Radio 3 für die Suche nach neuen Musik und die Inbetriebnahme neuer Werke meiner Meinung nach auch wirklich wichtig"", sagte er.","""Und das Engagement von Radio 3, neue Musik zu finden und neue Werke in Auftrag zu geben, halte ich auch wirklich für wichtig"", sagte er."
"Earlier this year, BBC Radio 3 controller Alan Davey argued that it has to work harder to engage audiences than it did in the past, because Britons are less educated about classical music.","Anfang dieses Jahres argumentierte der BBC-Radio 3-Controller Alan Davey, dass es härter arbeiten muss, um das Publikum zu beteiligen, als es in der Vergangenheit getan hat, da Briten weniger über klassische Musik gebildet sind.","Anfang dieses Jahres argumentierte BBC Radio 3 Controller Alan Davey, dass härter daran gearbeitet werden müsse, das Publikum zu engagieren, als es dies in der Vergangenheit tat, weil die Briten weniger über klassische Musik informiert sind."
"However, Radio 3 was not the only element of the BBC's output which came under fire for treading on the toes of commercial rivals, during the Culture, Media and Sport select committee hearing.","Radio 3 war jedoch nicht das einzige Element der BBC-Produktion, das während der Anhörung des Auswahlausschusses für Kultur, Medien und Sport in Brand geraten ist.","Radio 3 war jedoch nicht das einzige Element der BBC-Produktion, das während der Anhörung im Ausschuss für die Auswahl von Kultur, Medien und Sport dafür unter Feuer geriet, den kommerziellen Rivalen auf die Füße zu treten."
Tory MP Damien Collins attacked The Voice - the musical talent show which the BBC bought in from Dutch producer Talpa Media at an estimated cost of £22million.,"Die BBC hat die musikalische Talentshow The Voice angegriffen, die die BBC von dem niederländischen Produzenten Talpa Media zu einem geschätzten Preis von 22 Millionen US-Dollar kaufte.","Der Tory-Abgeordnete Damien Collins griff The Voice an - die musikalische Talent-Show der BBC, die vom niederländischen Produzenten Talpa Media für geschätzte Kosten von 22 Millionen £ gekauft wurde."
Can you see why that programme is often discussed because it is not original and it is not particularly distinctive?,"Können Sie sehen, warum dieses Programm oft diskutiert wird, weil es nicht original ist und nicht besonders charakteristisch ist?","Sehen Sie ein, warum dieses Programm oft diskutiert wird, weil es nicht originell ist und nicht besonders markant?"
"Lord Hall insisted that the BBC1 show - which stars Paloma Faith and Boy George as judges - was produced ""in a particularly BBC way.""","Lord Hall beharrte darauf, dass die BBC1-Show - die Paloma Faith und Boy George als Richter starb - ""in besonderer Weise"" produziert wurde.","Lord Hall bestand darauf, dass die BBC 1-Show - mit Paloma Faith und Boy George als Richter - ""auf besondere BBC-Weise"" produziert wurde."
"He added that he wants the Corporation to ""find a hit from our own in-house stable"" next time it launches an entertainment series.","Er fügte hinzu, dass er will, dass die Corporation ""einen Hit von unserem eigenen In-house-Status finden"" beim nächsten Start einer Unterhaltungsserie.","Er fügte hinzu, er wünsche sich, dass das Unternehmen ""einen Hit aus unserem hauseigenen Stall finde"", wenn es das nächste Mal eine Unterhaltungsserie starte."
"However, he refused to rule out ordering more series of The Voice in the future, or spending licence fee payers' money on other entertainment formats.","Allerdings weigerte er sich, weitere Serien von The Voice in der Zukunft zu zwingen oder Lizenzgebühren für andere Unterhaltungsformate auszugeben.","Allerdings weigerte er sich, die Bestellung von weiteren Reihen von The Voice in Zukunft auszuschließen oder Geld der Gebührenzahler für andere Unterhaltungs-Formate auszugeben."
Internet sales increased at slowest ever rate in August and Black Friday may be to blame,"Im August stieg der Internetumsatz langsamer, und der Schwarze Freitag könnte die Schuld sein",Internet-Umsätze stiegen im August am langsamsten und der Black Friday kann dafür verantwortlich sein
First three months of 2015 saw seven per cent increase in online sales,In den ersten drei Monaten des Jahres 2015 stieg der Online-Verkauf um 7 Prozent,In den ersten drei Monaten des Jahres 2015 gab es sieben Prozent Steigerung im Online-Verkauf.
Last month saw lowest growth rise since records began in 2000,Im vergangenen Monat hat sich das Wachstum seit Beginn der Rekorde im Jahr 2000 am niedrigsten erhöht.,Im letzten Monat gab es das niedrigste Ergebnis seit Beginn der Aufzeichnungen im Jahr 2000
Online sales bolstered three years ago by the use of mobile for shopping,Der Online-Verkauf wurde vor drei Jahren durch den Einsatz von Mobiltelefonen zum Einkauf gefördert.,Online-Verkäufe verstärkten sich vor drei Jahren durch die Verwendung von Handys zum Einkaufen
Experts believe November's Black Friday could be holding back spending,"Experten glauben, dass der Schwarze Freitag im November die Ausgaben behindern könnte","Experten glauben, dass der Black Friday im November die Ausgaben gebremst hat"
For over a decade virtual shopping has been booming and turning many of Britain's high streets into ghost towns.,Seit über einem Jahrzehnt boomt der virtuelle Einkauf und verwandelt viele der großen Straßen Großbritanniens in Geisterstädte.,"Für über ein Jahrzehnt hat das virtuelle Einkaufen geboomt, und viele der Haupteinkaufsstraßen Großbritanniens haben sich in Geisterstädte verwandelt."
"But experts say there are now signs that online sales are leveling off, after new figures showed just a seven per cent increase in the first three months of 2015.","Doch Experten sagen, es gibt jetzt Anzeichen dafür, dass sich der Online-Verkauf abnimmt, nachdem neue Zahlen in den ersten drei Monaten des Jahres 2015 nur einen Anstieg von 7 % gezeigt haben.","Doch Experten sagen, dass es jetzt Anzeichen gibt, dass die Online-Umsätze stagnieren, nachdem neue Zahlen nur sieben Prozent in den ersten drei Monaten 2015 zeigten."
"Total spending for August presented the lowest increase in growth since records began in 2000, with just a five per cent rise on last year.","Die Gesamtausgaben für August waren der niedrigste Anstieg des Wachstums seit dem Beginn der Rekorde im Jahr 2000, mit einem Anstieg von lediglich fünf Prozent gegenüber dem Vorjahr.",Die Gesamtausgaben für August präsentierten den niedrigsten Anstieg im Wachstum seit Beginn der Aufzeichnungen im Jahr 2000 mit nur fünf Prozent Steigerung gegenüber dem Vorjahr.
"Experts say there are signs that online sales are leveling off, after new figures showed just a seven per cent increase in the first three months of 2015","Experten sagen, es gibt Anzeichen dafür, dass sich der Online-Verkauf abnimmt, nachdem neue Zahlen in den ersten drei Monaten des Jahres 2015 lediglich einen Anstieg von 7 % gezeigt haben.","Experten sagen, dass es Anzeichen gibt, dass Online-Verkäufe stagnieren, nachdem neue Zahlen nur sieben Prozent Wachstum in den ersten drei Monaten 2015 anzeigten"
"'If you look at growth levels for previous years and go back to 2000, it was always going to rationalise over time,' Andy Mulcahy, editor of IMRG sales index, told the Guardian.","'Wenn man sich die Wachstumsraten der Vorjahre ansieht und bis zum Jahr 2000 zurückgeht, wurde es immer rationalisiert', sagte Andy Mulcahy, Redakteur des IMRG Umsatzindex, dem Guardian.","""Wenn Sie die Wachstumsraten für die Vorjahre betrachten und bis 2000 zurückgehen, dann hat sich das im Laufe der Zeit immer entwickelt"", sagte Andy Mulcahy, Herausgeber des IMRG-Verkaufsindexes dem Guardian."
He explained that online sales were bolstered three years ago when shoppers started using their mobile phones to make purchases.,"Er erklärte, dass der Online-Verkauf vor drei Jahren angekurbelt wurde, als die Käufer mit ihrem Mobiltelefon anfingen, Käufe zu tätigen.","Er erklärte, dass die Online-Verkäufe sich vor drei Jahren verstärkten, als Käufer anfingen, mit ihren Handys Einkäufe zu tätigen."
"It meant more people were able to shop online and that people could do it in different contexts, such as on the sofa.","Es bedeutete, dass mehr Menschen online shoppen konnten und dass Menschen es in verschiedenen Kontexten, wie zum Beispiel auf dem Sofa, tun konnten.","Es bedeutete, dass mehr Menschen online einkaufen konnten und dass Menschen dies in unterschiedlichen Umgebungen tun konnten, z. B. zu Hause auf dem Sofa."
"But now that is plateauing a bit, you might see (growth) fall away.","Aber jetzt steigt das ein wenig, könnte man sehen (Wachstum) fallen.","Aber jetzt pendelt sich das ein, und wir werden möglicherweise erleben, dass sich das Wachstum verringert."
"The Black Friday phenomenon, which has been imported from America, is being cited as one of the reasons behind the slowing sales.","Das Phänomen des Schwarzen Freitags, das aus Amerika importiert wurde, wird als einer der Gründe für die Verlangsamung des Umsatzes angeführt.","Das Black-Friday-Phänomen, das aus Amerika importiert wurde, wird als ein Grund für die nachlassenden Umsätze zitiert."
"Experts believe shoppers could be holding off making purchases ahead of the event, which takes place on the last Friday in November .","Experten glauben, dass die Käufer vor der Veranstaltung, die am letzten Freitag im November stattfindet, abhalten könnten.","Experten glauben, dass Käufer ihre Einkäufe vor diesem Ereignis, das jeweils am letzten Freitag im November stattfindet, zurückhalten."
Last year five times the average number of shoppers flocked to their computers to snap up deals crashing a number of retailers websites.,"Im vergangenen Jahr fünfmal die durchschnittliche Zahl der Käufer schlug auf ihre Computer, um Geschäfte abzuschließen, die eine Reihe von Online-Händler-Websites abstürzen.","Im vergangenen Jahr scharte sich fünfmal die durchschnittliche Anzahl von Käufern um ihre Computer, um ihre Schnäppchen zu machen, und einige Händler-Websites stürzten ab."
"Experts believe Black Friday, which saw shoppers fight over bargains, could be holding shoppers off from making purchases","Experten sind der Meinung, dass der Schwarze Freitag, bei dem die Käufer um Schnäppchen streiten mussten, die Käufer davon abhalten könnte, Einkäufe zu tätigen","Experten glauben, dass Black Friday, an dem sich die Käufer wegen Schnäppchen bekämpften, Käufer davon abhalten könnte, Einkäufe zu machen."
Research published by the British Retail Consortium found just over £1 in every £5 was being spent online.,"Die vom britischen Retail Consortium veröffentlichte Forschung hat ergeben, dass nur knapp über £1 pro £5 online ausgegeben wurden.","Eine Studie des British Retail Consortium fand heraus, dass von 5 £ Ausgaben etwas mehr als 1 £ online ausgegeben wurde."
"For some products, such as TVs and washing machines, more than one third of purchases are now done through web stores.","Für einige Produkte, wie Fernseher und Waschmaschinen, werden mehr als ein Drittel der Einkäufe jetzt über Web-Shops gemacht.",Bei einigen Produkten wie Fernseher und Waschmaschinen werden mehr als ein Drittel der Einkäufe nun über Web-Shops durchgeführt.
"At the same time, more than a quarter of people are buying clothes and shoes online, rather than using high street fashion chains.","Gleichzeitig kaufen mehr als ein Viertel der Menschen Kleidung und Schuhe online, anstatt Modeketten auf der Straße zu benutzen.",Zur gleichen Zeit kauft mehr als ein Viertel der Menschen Kleidung und Schuhe online anstatt in den Modeketten in den Innenstädten.
Muslims bury those killed in Mecca crane crash as Bin Laden family sanctioned,"Muslime begraben diejenigen, die beim Kranschlag in Mekka getötet wurden, als die Familie Bin Laden sanktioniert hat",Muslime begraben die in Mekka beim Kran-Unfall Getöteten - Bin Ladens Familie wird sanktioniert
Bodies of 29 of the dead carried through the streets by Muslims as the first funerals take place in Mecca,Organe von 29 Toten durch die Straßen getragen von Moslems als die ersten Beerdigungen in Mekka stattfinden,Die Leichen von 29 Toten werden von Muslimen bei den ersten Begräbnissen in Mekka durch die Straßen getragen
Come as Saudi Arabia has partly blamed the collapse on construction giant Saudi Binladin Group,Da Saudi-Arabien den Zusammenbruch teilweise auf den Bauriesen Saudi Binladin verantwortlich gemacht hat,Saudi-Arabien legt den Zusammenbruch teilweise der riesigen Saudischen Bin-Laden-Gruppe zur Last
The Health Ministry said a total of 394 people were also injured after the crane crashed down,"Das Gesundheitsministerium hat festgestellt, dass insgesamt 394 Menschen verletzt wurden, nachdem der Kran stürzte.","Das Gesundheitsministerium sagte, dass außerdem insgesamt 394 Menschen verletzt wurden, nachdem der Kran stürzte"
"Carried aloft through the streets, hundreds of Muslims gathered to bury 29 of the victims killed when a crane collapsed at Mecca's Grand mosque.","Hunderte von Muslimen versammelten sich durch die Straßen, um 29 der Opfer zu begraben, die getötet wurden, als ein Kran in Mekkas Grand Moschee zusammenbrach.","Hunderte von Muslimen versammelten sich, als 29 der Opfer durch die Straßen getragen wurden, um die zu begraben, die getötet wurden, als ein Kran an Mekkas Großmoschee einstürzte."
"Dressed largely in white, mourners packed the route to pay their respects as the first of the dead made their final journey to Al-Moaissem cemetery.","Die größtenteils weiß gekleideten Trauern verpackten die Strecke, um ihren Respekt zu zollen, als die ersten Toten ihre letzte Reise zum Friedhof Al-Moaissem machten.","Trauernde füllten, weitgehend in weiß gekleidet, die Strecke, um ihren Respekt zu zollen, als die ersten der Toten ihre letzte Reise zum Al-Moaissem-Friedhof antraten."
"The sad possession passed by the holy site, where just days earlier a construction crane crashed through the ceiling of the mosque and toppled onto worshipers.","Der traurige Besitz durchquerte die heilige Stelle, wo nur Tage zuvor ein Baukran durch die Decke der Moschee stürzte und auf die Gläubigen stürzte.","Die Trauerprozession zog an der Heiligen Stätte vorüber, wo nur Tage zuvor ein Baukran durch die Decke der Moschee und dann auf die Betenden stürzte."
"The bodies were released for funeral as the Saudi King sanctioned the Bin Laden family construction group over the disaster, which also left 394 injured.","Die Leichen wurden zur Beerdigung freigelassen, da der saudische König die Baugruppe der Familie Bin Laden wegen der Katastrophe sanktioniert hat, die ebenfalls 394 verletzt hat.","Die Leichen wurden für die Beerdigung freigegeben, als der Saudi-König über das Bauunternehmen der Familie Bin Laden wegen der Katastrophe, die auch 394 Verletzte hinterließ, eine Sanktion verhängte."
The bodies of 29 of the worshipers killed when a crane crashed collapsed at Mecca's Grand Central Mosque were carried through the streets,"Die Leichen von 29 Gläubigen, die getötet wurden, als ein Kran in Mekkas Grand Central Moschee zusammenbrach, wurden durch die Straßen transportiert.","Die Leichen von 29 Betern, die getötet wurden, als ein Kran durch die Große Zentralmoschee Mekkas stürzte, wurden durch die Straßen getragen."
"Among the dead was father-of-four Qasim Akram, from Bolton, Greater Manchester, who was on his first pilgrimage when the crane crashed down.","Zu den Toten gehörte der vierte Vater Qasim Akram aus Bolton, Greater Manchester, der auf seiner ersten Pilgerreise war, als der Kran abstürzte.","Unter den Toten befand sich Qasim Akram aus Bolton, Greater Manchester, Vater von vier Kindern, der auf seiner ersten Pilgerreise war, als der Kran hinunterstürzte."
Mr Akram had been in the Grand Mosque with his parents ahead of the start of the annual hajj pilgrimage.,Herr Akram war mit seinen Eltern vor Beginn der jährlichen Hajj-Moschee in der Großen Moschee.,Mr Akram war mit seinen Eltern vor dem Beginn des jährlichen Haddsch in der Großen Moschee.
Saudi officials have already vowed that the hajj to Mecca will go ahead with thousands continuing to descend on the city.,"Saudi-Arabier haben bereits gelobt, dass der Hajj nach Mekka weitergehen wird, während Tausende weiter in die Stadt absteigen.","Saudi-Offizielle haben bereits fest zugesagt, dass die Haddsch nach Mekka mit Tausenden, die weiterhin zur Stadt kommen werden, weitergehen werde."
"Today, King Salman said the Binladin Group should not have left the crane's arm up when it was not in use.","Heute sagte König Salman, die Binladin-Gruppe hätte den Arm des Krans nicht verlassen dürfen, wenn er nicht in Gebrauch war.","Heute sagte König Salman, die Bin-Laden-Gruppe hätte den Arm des Krans nicht stehenlassen sollen, als er nicht benutzt wurde."
"An Arabic version of the decree, carried by the state-run Saudi Press Agency, said the Binladin Group was partly to blame for the collapse.","Eine arabische Fassung des Dekrets, die von der staatlichen Saudi-Presseagentur getragen wurde, sagte, dass die Binladin-Gruppe zum Teil für den Zusammenbruch verantwortlich sei.","Eine arabische Version des Dekrets, das von der staatlichen Saudi Press Agency veröffentlicht wurde, sagte, dass die Bin-Laden-Gruppe für den Zusammenbruch mitverantwortlich sei."
"The news agency's English service did not report that detail, but did say leaders of the company have been banned from travelling abroad.","Der englische Dienst der Nachrichtenagentur berichtete nicht über diese Details, sondern sagte, dass Führungskräfte des Unternehmens verboten wurden, ins Ausland zu reisen.","Der englischsprachige Service der Nachrichtenagentur berichtete dieses Detail nicht, sagte aber, dass der Führung des Unternehmens Auslandsreisen verboten seien."
"Earlier this week Salman vowed to reveal what caused the crane to topple into a courtyard of the Grand Mosque, where hundreds of thousands of Muslims have converged ahead of the hajj pilgrimage later this month.","Anfang dieser Woche hat Salman angekündigt, die Ursachen dafür aufzuzeigen, dass der Kran in einen Innenhof der Großen Moschee stürzte, wo hunderttausende von Muslimen vor der Hajj-Paläste in diesem Monat zusammengetreten sind.","Anfang dieser Woche gelobte Salman zu enthüllen, was den Sturz des Krans verursachte, der in einen Innenhof der Großmoschee stürzte, wo Hunderttausende von Muslimen vor der Haddsch, die später in diesem Monat stattfindet, sich versammelten."
Binladin Group has not released any statements about the crane collapse and its representatives have not been made available for comment.,Die Binladin-Gruppe hat keine Erklärungen zum Kranfall veröffentlicht und ihre Vertreter wurden nicht zur Stellungnahme zur Verfügung gestellt.,"Die Bin-Laden-Gruppe hat keine Aussagen über den Zusammenbruch de Krans herausgegeben, und ihre Vertreter standen für eine Stellungnahme nicht zur Verfügung."
The royal decree also blamed the group for not using up-to-date safety measures and failing to coordinate with meteorological officials.,"Das königliche Dekret hat der Gruppe auch die Schuld dafür gegeben, dass sie nicht aktualisierte Sicherheitsmaßnahmen angewendet und sich nicht mit meteorologischen Vertretern koordiniert hat.",Das Königliche Dekret tadelte auch die Gruppe wegen nicht aktueller Sicherheitsmaßnahmen und weil sie nicht mit Meteorologen kooperiert habe.
"Dozens of cranes surround Mecca's Grand Mosque, part of the massive construction effort headed by the Binladin Group.","Dutzende Krane umgeben Mekkas Große Moschee, Teil der massiven Bauarbeiten unter der Leitung der Binladin-Gruppe.","Dutzende von Kränen umgeben Mekkas Großmoschee als Teil des massiven Bauvorhabens, das von der Bin-Laden-Gruppe geleitet wird."
